COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;0;2;2;3;4;5;5;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;0;1;2;3;4;5;5;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;1;2;2;3;4;5;5;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;0;1;2;3;4;5;5;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;0;1;1;2;3;3;4;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);0;0;0;1;1;2;2;3;4;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);0;1;2;2;2;3;3;4;4;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;0;2;3;3;4;5;5;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;0;2;3;3;4;4;4;5;5;5;5;5;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;0;2;3;3;4;4;4;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;;3;4;4;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;;2;3;3;4;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL3;3;Conocimientos sobre negociación de contratos con clientes para alcanzar el máximo beneficio para ambas partes y asegurar relaciones comerciales a largo plazo;;3;4;4;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL4;4;Conocimientos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);;2;3;4;4;4;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL5;5;Conocimientos en ventas/comercial 4.0 (combinación canal offline con online);;2;3;4;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL6;6;Conocimientos sobre el ciclo de vida del cliente y estrategias de retención;;3;4;5;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL7;7;Conocimientos de técnicas de presentación y comunicación efectiva;;3;3;4;4;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL8;8;Conocimientos de análisis de datos y capacidad para interpretar informes de ventas;;3;4;5;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL9;9;Conocimientos en gestión del equipo;;1;2;2;3;3;4;4;4;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL10;10;Conocimientos en nuevas tendencias, i+d, etc. ;;1;1;2;2;3;3;3;4;4;4;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL11;11;Conocimientos de normas y procedimientos (fichajes) de la empresa;;3;4;4;5;5;5;5;5;5;5;5;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL12;12;Conocimiento de uso correcto de FTP - ERP (pasar ordenes a otros departamentos);;3;4;4;5;5;5;5;5;5;5;5;5
